# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.106,0.080,1.126,-0.070,-0.209,-0.317,0.085,-26.248
0.127,0.080,1.166,-0.186,-0.306,-0.492,-0.585,-90.885
0.148,0.080,1.217,-0.362,-0.338,-0.731,-1.181,-205.089
0.170,0.080,1.278,-0.635,-0.194,-1.118,7.561,-211.458
0.191,0.080,1.282,-0.721,0.181,-1.262,14.737,-95.217
0.212,0.080,1.205,-0.588,0.447,-1.008,2.347,-152.078
0.233,0.080,1.124,-0.410,0.515,-0.699,-0.081,-69.933
0.255,0.080,1.069,-0.289,0.516,-0.494,0.031,-30.565
0.276,0.080,1.035,-0.200,0.499,-0.360,-0.094,-17.509
0.297,0.080,1.013,-0.138,0.474,-0.270,0.050,-10.129
0.318,0.080,0.999,-0.097,0.443,-0.204,-0.096,-6.280
0.339,0.080,0.993,-0.075,0.419,-0.166,0.147,-3.897
-0.339,0.094,0.996,0.077,0.387,-0.148,-0.041,-2.545
-0.318,0.094,1.010,0.116,0.415,-0.205,0.162,-4.938
-0.297,0.094,1.025,0.160,0.437,-0.269,-0.072,-8.166
-0.276,0.094,1.045,0.210,0.445,-0.335,0.063,-13.080
-0.255,0.094,1.077,0.287,0.444,-0.440,-0.054,-22.533
-0.233,0.094,1.122,0.382,0.413,-0.578,0.016,-42.245
-0.212,0.094,1.176,0.488,0.321,-0.728,0.109,-80.636
-0.191,0.094,1.216,0.550,0.144,-0.811,0.065,-129.276
-0.170,0.094,1.219,0.485,-0.065,-0.734,0.159,-124.772
-0.148,0.094,1.190,0.335,-0.181,-0.565,-0.205,-78.275
-0.127,0.094,1.152,0.193,-0.182,-0.400,-0.072,-35.340
-0.106,0.094,1.127,0.109,-0.153,-0.307,-0.040,-16.720
-0.085,0.094,1.110,0.055,-0.113,-0.249,0.032,-7.042
-0.064,0.094,1.100,0.026,-0.079,-0.219,0.003,-2.738
-0.042,0.094,1.096,0.014,-0.061,-0.207,0.009,-1.314
-0.021,0.094,1.094,0.006,-0.048,-0.199,-0.108,-0.416
0.000,0.094,1.093,0.000,-0.041,-0.196,0.000,-0.272
0.021,0.094,1.094,-0.006,-0.048,-0.199,0.108,-0.419
0.042,0.094,1.096,-0.014,-0.061,-0.207,-0.008,-1.321
0.064,0.094,1.100,-0.026,-0.079,-0.219,-0.002,-2.751
0.085,0.094,1.110,-0.055,-0.113,-0.250,-0.032,-7.067
0.106,0.094,1.128,-0.109,-0.153,-0.308,0.041,-16.749
0.127,0.094,1.152,-0.193,-0.182,-0.401,0.072,-35.309
0.148,0.094,1.190,-0.335,-0.181,-0.567,0.204,-77.985
0.170,0.094,1.219,-0.484,-0.066,-0.735,-0.140,-124.079
0.191,0.094,1.216,-0.551,0.144,-0.810,-0.057,-129.886
0.212,0.094,1.175,-0.489,0.322,-0.727,-0.107,-81.239
0.233,0.094,1.122,-0.382,0.414,-0.577,-0.016,-42.215
0.255,0.094,1.077,-0.287,0.444,-0.440,0.054,-22.386
0.276,0.094,1.045,-0.210,0.445,-0.335,-0.063,-13.010
0.297,0.094,1.025,-0.160,0.437,-0.269,0.072,-8.151
0.318,0.094,1.010,-0.116,0.415,-0.205,-0.162,-4.943
0.339,0.094,1.000,-0.088,0.396,-0.164,0.073,-3.095
-0.339,0.109,1.003,0.088,0.369,-0.150,-0.020,-2.105
-0.318,0.109,1.018,0.128,0.390,-0.204,0.107,-3.958
-0.297,0.109,1.031,0.164,0.399,-0.250,-0.039,-5.996
-0.276,0.109,1.052,0.214,0.399,-0.312,-0.031,-9.502
-0.255,0.109,1.078,0.272,0.384,-0.385,0.026,-15.283
-0.233,0.109,1.114,0.341,0.342,-0.474,0.009,-25.258
-0.212,0.109,1.150,0.403,0.258,-0.554,0.163,-38.103
-0.191,0.109,1.175,0.428,0.136,-0.586,-0.080,-50.432
-0.170,0.109,1.180,0.388,0.004,-0.546,0.016,-49.151
-0.148,0.109,1.165,0.297,-0.083,-0.457,-0.068,-36.236
-0.127,0.109,1.142,0.196,-0.107,-0.355,0.024,-19.708
-0.106,0.109,1.124,0.127,-0.102,-0.291,-0.026,-10.836
-0.085,0.109,1.109,0.074,-0.082,-0.245,-0.005,-5.236
-0.064,0.109,1.100,0.042,-0.062,-0.218,0.005,-2.400
-0.042,0.109,1.096,0.026,-0.051,-0.207,-0.066,-1.339
-0.021,0.109,1.094,0.014,-0.040,-0.198,-0.060,-0.540
0.021,0.109,1.094,-0.014,-0.040,-0.198,0.060,-0.543
0.042,0.109,1.096,-0.026,-0.051,-0.207,0.066,-1.345
0.064,0.109,1.100,-0.042,-0.062,-0.218,-0.004,-2.409
0.085,0.109,1.109,-0.074,-0.082,-0.245,0.005,-5.251
0.106,0.109,1.124,-0.127,-0.102,-0.291,0.026,-10.852
0.127,0.109,1.142,-0.196,-0.107,-0.356,-0.024,-19.705
0.148,0.109,1.166,-0.297,-0.083,-0.457,0.067,-36.180
