# plane x_cr = 0.30 | grid 33 x 13, y [-0.2,0.2] z [-0.02,0.1], bin-averaged from 6573 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.048,0.086,1.149,-0.128,0.023,-0.341,-0.010,-14.381
0.061,0.086,1.153,-0.171,0.045,-0.363,0.018,-18.980
0.073,0.086,1.154,-0.210,0.081,-0.384,-0.074,-23.177
0.085,0.086,1.150,-0.239,0.131,-0.398,-0.051,-25.827
0.097,0.086,1.140,-0.253,0.188,-0.400,-0.142,-25.446
0.109,0.086,1.124,-0.247,0.242,-0.385,-0.039,-23.046
0.121,0.086,1.105,-0.228,0.288,-0.358,0.032,-18.952
0.133,0.086,1.089,-0.206,0.314,-0.330,-0.028,-14.811
0.145,0.086,1.071,-0.176,0.335,-0.292,0.026,-10.809
0.158,0.086,1.055,-0.149,0.347,-0.256,0.008,-7.890
0.170,0.086,1.042,-0.124,0.345,-0.221,0.092,-5.368
0.182,0.086,1.032,-0.107,0.346,-0.198,0.107,-4.050
0.194,0.086,1.024,-0.093,0.345,-0.177,0.055,-3.051
-0.145,0.095,1.071,0.168,0.316,-0.275,-0.040,-8.081
-0.133,0.095,1.086,0.190,0.294,-0.305,-0.072,-10.626
-0.121,0.095,1.100,0.206,0.270,-0.326,-0.079,-13.147
-0.109,0.095,1.115,0.219,0.231,-0.347,0.038,-15.516
-0.097,0.095,1.128,0.221,0.186,-0.359,0.070,-16.874
-0.085,0.095,1.137,0.209,0.140,-0.359,0.026,-17.107
-0.073,0.095,1.142,0.186,0.099,-0.350,0.022,-15.710
-0.061,0.095,1.142,0.154,0.068,-0.336,-0.026,-13.475
-0.048,0.095,1.141,0.119,0.046,-0.320,-0.048,-10.735
-0.036,0.095,1.139,0.091,0.036,-0.309,-0.131,-8.259
-0.024,0.095,1.138,0.072,0.031,-0.303,-0.363,-6.833
0.024,0.095,1.138,-0.072,0.031,-0.302,0.364,-6.828
