# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
-1.250,3.500,1.282,-0.058,-0.086,-0.182,0.198
-1.000,3.500,1.084,-0.039,-0.070,-0.245,0.319
-0.750,3.500,0.634,0.002,-0.081,-0.316,0.309
-0.500,3.500,0.390,0.025,0.168,-0.355,0.304
-0.250,3.500,0.416,0.011,0.586,-0.327,0.266
0.000,3.500,0.487,-0.001,0.829,-0.299,0.182
0.250,3.500,0.421,-0.013,0.588,-0.324,0.265
0.500,3.500,0.397,-0.025,0.169,-0.350,0.305
0.750,3.500,0.644,-0.002,-0.077,-0.312,0.310
1.000,3.500,1.092,0.039,-0.066,-0.243,0.318
1.250,3.500,1.282,0.057,-0.087,-0.181,0.193
1.500,3.500,1.207,0.046,-0.166,-0.121,0.045
1.750,3.500,1.146,0.030,-0.164,-0.072,0.004
2.000,3.500,1.130,0.019,-0.132,-0.040,0.000
2.250,3.500,1.122,0.013,-0.106,-0.018,0.000
2.500,3.500,1.115,0.008,-0.087,-0.003,0.000
2.750,3.500,1.110,0.005,-0.071,0.010,0.000
3.000,3.500,1.106,0.003,-0.058,0.018,0.000
-3.000,3.750,1.103,-0.014,-0.059,0.020,0.000
-2.750,3.750,1.106,-0.017,-0.067,0.014,0.000
-2.500,3.750,1.111,-0.024,-0.082,0.003,0.000
-2.250,3.750,1.117,-0.034,-0.098,-0.011,0.000
-2.000,3.750,1.124,-0.047,-0.120,-0.030,0.000
-1.750,3.750,1.138,-0.068,-0.146,-0.058,0.003
-1.500,3.750,1.197,-0.098,-0.147,-0.100,0.040
-1.250,3.750,1.291,-0.121,-0.070,-0.155,0.189
-1.000,3.750,1.130,-0.124,-0.055,-0.216,0.318
-0.750,3.750,0.656,-0.114,-0.100,-0.288,0.297
-0.500,3.750,0.399,-0.091,0.135,-0.328,0.283
-0.250,3.750,0.398,-0.057,0.536,-0.286,0.255
0.000,3.750,0.455,-0.003,0.758,-0.244,0.195
0.250,3.750,0.401,0.053,0.537,-0.283,0.254
0.500,3.750,0.405,0.088,0.136,-0.324,0.283
0.750,3.750,0.666,0.112,-0.096,-0.285,0.299
1.000,3.750,1.138,0.123,-0.051,-0.214,0.317
1.250,3.750,1.291,0.121,-0.071,-0.153,0.184
1.500,3.750,1.195,0.097,-0.148,-0.099,0.039
1.750,3.750,1.137,0.068,-0.146,-0.057,0.003
2.000,3.750,1.124,0.047,-0.119,-0.029,0.000
2.250,3.750,1.117,0.033,-0.098,-0.010,0.000
2.500,3.750,1.111,0.024,-0.081,0.003,0.000
2.750,3.750,1.106,0.017,-0.067,0.014,0.000
3.000,3.750,1.103,0.013,-0.058,0.021,0.000
-3.000,4.000,1.099,-0.020,-0.052,0.027,0.000
-2.750,4.000,1.102,-0.027,-0.061,0.020,0.000
-2.500,4.000,1.106,-0.037,-0.072,0.011,0.000
-2.250,4.000,1.111,-0.050,-0.085,-0.000,0.000
-2.000,4.000,1.117,-0.069,-0.101,-0.015,0.000
-1.750,4.000,1.126,-0.096,-0.119,-0.037,0.002
-1.500,4.000,1.167,-0.135,-0.120,-0.068,0.025
-1.250,4.000,1.277,-0.172,-0.050,-0.110,0.147
-1.000,4.000,1.234,-0.192,0.009,-0.156,0.306
-0.750,4.000,0.796,-0.214,-0.043,-0.203,0.304
-0.500,4.000,0.475,-0.209,0.106,-0.220,0.259
-0.250,4.000,0.424,-0.132,0.439,-0.169,0.235
0.000,4.000,0.448,-0.003,0.620,-0.126,0.202
0.250,4.000,0.425,0.128,0.438,-0.169,0.235
0.500,4.000,0.479,0.206,0.104,-0.219,0.260
0.750,4.000,0.807,0.212,-0.040,-0.201,0.305
1.000,4.000,1.239,0.191,0.010,-0.155,0.304
1.250,4.000,1.275,0.171,-0.052,-0.109,0.143
1.500,4.000,1.165,0.134,-0.121,-0.067,0.024
1.750,4.000,1.126,0.095,-0.118,-0.036,0.002
2.000,4.000,1.116,0.068,-0.100,-0.015,0.000
2.250,4.000,1.111,0.050,-0.085,0.000,0.000
2.500,4.000,1.106,0.037,-0.072,0.011,0.000
2.750,4.000,1.102,0.027,-0.061,0.020,0.000
3.000,4.000,1.099,0.020,-0.052,0.027,0.000
-3.000,4.250,1.095,-0.028,-0.048,0.032,0.000
-2.750,4.250,1.098,-0.035,-0.054,0.027,0.000
-2.500,4.250,1.101,-0.047,-0.061,0.020,0.000
-2.250,4.250,1.104,-0.062,-0.070,0.012,0.000
-2.000,4.250,1.108,-0.082,-0.079,0.001,0.000
-1.750,4.250,1.113,-0.111,-0.087,-0.013,0.001
-1.500,4.250,1.133,-0.152,-0.086,-0.032,0.010
-1.250,4.250,1.220,-0.198,-0.034,-0.057,0.082
-1.000,4.250,1.301,-0.225,0.070,-0.083,0.250
-0.750,4.250,1.080,-0.249,0.090,-0.100,0.325
-0.500,4.250,0.666,-0.253,0.122,-0.088,0.273
-0.250,4.250,0.491,-0.168,0.312,-0.038,0.229
0.000,4.250,0.470,-0.001,0.431,-0.004,0.212
0.250,4.250,0.493,0.166,0.310,-0.039,0.229
0.500,4.250,0.673,0.251,0.122,-0.088,0.274
0.750,4.250,1.089,0.247,0.092,-0.100,0.325
1.000,4.250,1.301,0.224,0.069,-0.083,0.247
1.250,4.250,1.218,0.197,-0.036,-0.056,0.079
1.500,4.250,1.132,0.151,-0.087,-0.031,0.010
1.750,4.250,1.113,0.110,-0.087,-0.013,0.001
2.000,4.250,1.108,0.081,-0.078,0.001,0.000
2.250,4.250,1.104,0.061,-0.069,0.012,0.000
2.500,4.250,1.101,0.047,-0.061,0.020,0.000
2.750,4.250,1.098,0.035,-0.053,0.027,0.000
3.000,4.250,1.095,0.028,-0.048,0.032,0.000
-3.000,4.500,1.091,-0.031,-0.041,0.039,0.000
